Process_ID,Node_Title,Stage,Stage_Name,Current_Lane,Target_Lane,Purpose,Accountable_Role,Inputs,Outputs,Decision_Rule_Or_Policy_Ref,Blocked_By,Blocks,Parallel_Allowed,Rework_Trigger,Typical_Elapsed_Range,Failure_Mode_1,Failure_Mode_2,System_Of_Record,Evidence_Status,Source_ID,Notes
C2.5,Obtain credit approval,C2,Credit,Credit,Credit,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C2.6,Provide Credit Agreement data to Legal,C2,Credit,Credit,Credit,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
C2.7,Review / approve final agreement & data,C2,Credit,Credit,Credit,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M0.1,Determine sales location & reporting / booking entity,M0,Booking model determination,Sales / RM (Front Office),Agentic execution | Sales / RM (Front Office),,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,ID drawn 2 times on the target map: Initiation relationship/ product request [Sales / RM (Front Office)] || Determine sales location & reporting / booking entity [Agentic execution]. Confirm which is authoritative.
M0.2,Confirm & validate approved product / service scope,M0,Booking model determination,Sales / RM (Front Office),Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M0.3,Determine DD level,M0,Booking model determination,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M0.4,Record booking model,M0,Booking model determination,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M1.1,Submit onboarding request & capture initial client / relationship,M1,Client intake & triage,Sales / RM (Front Office),Sales / RM (Front Office),,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M1.2,Receive onboarding request info,M1,Client intake & triage,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M1.3,Create onboarding case & working repository,M1,Client intake & triage,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M1.4,Confirm client legal name & location,M1,Client intake & triage,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M1.5,Classify client / legal entity type & triage case,M1,Client intake & triage,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M2.1,Determine AML / KYC requirements & applicable reliefs,M2,Requirements determination,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M2.2,Determine non-AML requirements & applicable exemption (With Legal if required),M2,Requirements determination,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M2.3,Consolidate requirements,M2,Requirements determination,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M2.4,"Apply risk rating, identify EDD indicators & adjust requirements",M2,Requirements determination,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M2.5,Issue client requirements,M2,Requirements determination,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M3.1,Source from public & commercial sources,M3,Document sourcing,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M3.2,Identify residual gaps,M3,Document sourcing,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M3.3,Request info from client,M3,Document sourcing,Client Fulfilment / KYC Ops | Sales / RM (Front Office),Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,ID drawn 2 times on the current map: Request info from client [Client Fulfilment / KYC Ops] || Request info from client [Sales / RM (Front Office)]. Confirm which is authoritative.
M3.4,Capture & validate evidence,M3,Document sourcing,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M3.5,Manage outstanding gaps & sourcing audit trail,M3,Document sourcing,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M4.1,Initial risk pre-screening,M4,Screening,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M4.2,Early adverse-media screen,M4,Screening,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M4.3,Establish screening pop.,M4,Screening,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M4.4,Execute comprehensive screening,M4,Screening,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M4.5,Adjudicate screening hits,M4,Screening,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M4.6,Assess risk & materiality,M4,Screening,Financial Crime Risk / Compliance,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M4.7,Determine screening outcome,M4,Screening,Financial Crime Risk / Compliance,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M5.1,Initiate & assign EDD case,M5,EDD assessment,Financial Crime Risk / Compliance,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M5.2,Compile EDD evidence pack,M5,EDD assessment,Financial Crime Risk / Compliance,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M5.3,Assess evidencing risk factors,M5,EDD assessment,Financial Crime Risk / Compliance,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M5.4,Close intelligence & gaps,M5,EDD assessment,Financial Crime Risk / Compliance,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M5.5,Consult risk specialists,M5,EDD assessment,Financial Crime Risk / Compliance,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M5.6,Determine EDD outcome & conditions,M5,EDD assessment,Financial Crime Risk / Compliance,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M5.7,Obtain required approvals,M5,EDD assessment,Financial Crime Risk / Compliance,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M5.8,Record & hand over EDD outcome,M5,EDD assessment,Financial Crime Risk / Compliance,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M5.9,Perform EDD judgment and risk assessment,M5,EDD assessment,NOT_PRESENT,Financial Crime Risk / Compliance,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M5.10,Approve EDD outcome and conditions,M5,EDD assessment,NOT_PRESENT,Financial Crime Risk / Compliance,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M6.1,Confirm applicable requirements / CIPs,M6,Quality Assurance,QA Team,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M6.2,Check completeness,M6,Quality Assurance,QA Team,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M6.3,Validate evidence sources,M6,Quality Assurance,QA Team,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M6.4,Assess evidence sufficiency,M6,Quality Assurance,QA Team,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M6.5,Cross-check screening & EDD conditions,M6,Quality Assurance,QA Team,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M6.6,Identify & issue gaps,M6,Quality Assurance,QA Team,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M6.7,Re-review remediated items,M6,Quality Assurance,QA Team,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M6.8,Provide QA sign-off,M6,Quality Assurance,QA Team,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M7.1,Initiate conflicts check,M7,Conflicts Check,RMG Control Room,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M7.2,Perform conflicts / NDA search,M7,Conflicts Check,RMG Control Room,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M7.3,Investigate & resolve conflicts,M7,Conflicts Check,RMG Control Room,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M7.4,Record conflict clearance,M7,Conflicts Check,RMG Control Room,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M7.5,Investigate potential conflicts,M7,Conflicts Check,NOT_PRESENT,RMG Control Room,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M7.6,Escalate to senior manager if required,M7,Conflicts Check,NOT_PRESENT,RMG Control Room,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M7.7,Confirm and record outcome,M7,Conflicts Check,NOT_PRESENT,RMG Control Room,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M8.1,Confirm all required clearance prerequisites are complete,M8,Cleared-to-trade,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M8.2,Finalise onboarding case & link supporting outputs,M8,Cleared-to-trade,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M8.3,Confirm / record cleared-to-trade status,M8,Cleared-to-trade,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M8.4,Record clearance timestamp,M8,Cleared-to-trade,Client Fulfilment / KYC Ops,Agentic execution,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
M8.5,Communication outcome,M8,Cleared-to-trade,Sales / RM (Front Office),Sales / RM (Front Office),,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,
HITL-01,Resolve classification exceptions,HITL,Human in the loop (target only),NOT_PRESENT,Client Fulfilment / KYC Ops,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,"Target-only human activity, drawn under M1. ID assigned by us; no ID on the map."
HITL-02,Resolve complex info gaps,HITL,Human in the loop (target only),NOT_PRESENT,Client Fulfilment / KYC Ops,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,"Target-only human activity, drawn under M2|M3. ID assigned by us; no ID on the map."
HITL-03,Review ambiguous screening hits,HITL,Human in the loop (target only),NOT_PRESENT,Client Fulfilment / KYC Ops,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,"Target-only human activity, drawn under M4. ID assigned by us; no ID on the map."
HITL-04,Support evidence gaps where needed,HITL,Human in the loop (target only),NOT_PRESENT,Client Fulfilment / KYC Ops,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,"Target-only human activity, drawn under M5. ID assigned by us; no ID on the map."
HITL-05,Adjudicate material screening finding,HITL,Human in the loop (target only),NOT_PRESENT,Financial Crime Risk / Compliance,,,,,,,,,,,,,,PPT_TITLE_ONLY_NEEDS_SPECIFICATION,SRC-007,"Target-only human activity, drawn under M4. ID assigned by us; no ID on the map."
