Delta_ID,Process_ID,Node_Title_Current,Node_Title_Target,Current_Lane,Target_Lane,Delta_Type_Hypothesis,Relationship_Tag,Geometry_Confidence,What_Changed,Why,Confirmed_By,Confirmed_Delta_Type,Evidence_Status,Source_ID
BA-025,M2.1,Determine AML / KYC requirements & applicable reliefs,Determine AML / KYC requirements & applicable reliefs,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-026,M2.2,Determine non-AML requirements & applicable exemption (With Legal if required),Determine non-AML requirements & applicable exemption (With Legal if required),Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-027,M2.3,Consolidate requirements,Consolidate requirements,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-028,M2.4,"Apply risk rating, identify EDD indicators & adjust requirements","Apply risk rating, identify EDD indicators & adjust requirements",Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-029,M2.5,Issue client requirements,Issue client requirements,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-030,M3.1,Source from public & commercial sources,Source from public & commercial sources,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-031,M3.2,Identify residual gaps,Identify residual gaps,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-032,M3.3,Request info from client,Request info from client,Client Fulfilment / KYC Ops | Sales / RM (Front Office),Agentic execution,Unconfirmed,Duplicate ID,Medium - ID drawn more than once,"This ID is drawn more than once, with different titles or lanes (current: 'Request info from client' [Client Fulfilment / KYC Ops] || 'Request info from client' [Sales / RM (Front Office)]). The delta type below compares only the first instance of each. Rule on which is authoritative, or split the ID.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-033,M3.4,Capture & validate evidence,Capture & validate evidence,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-034,M3.5,Manage outstanding gaps & sourcing audit trail,Manage outstanding gaps & sourcing audit trail,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-035,M4.1,Initial risk pre-screening,Initial risk pre-screening,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-036,M4.2,Early adverse-media screen,Early adverse-media screen,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-037,M4.3,Establish screening pop.,Establish screening pop.,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-038,M4.4,Execute comprehensive screening,Execute comprehensive screening,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-039,M4.5,Adjudicate screening hits,Adjudicate screening hits,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-040,M4.6,Assess risk & materiality,Assess risk & materiality,Financial Crime Risk / Compliance,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Financial Crime Risk / Compliance -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-041,M4.7,Determine screening outcome,Determine screening outcome,Financial Crime Risk / Compliance,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Financial Crime Risk / Compliance -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-042,M5.1,Initiate & assign EDD case,Initiate & assign EDD case,Financial Crime Risk / Compliance,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Financial Crime Risk / Compliance -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-043,M5.2,Compile EDD evidence pack,Compile EDD evidence pack,Financial Crime Risk / Compliance,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Financial Crime Risk / Compliance -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-044,M5.3,Assess evidencing risk factors,Assess evidencing risk factors,Financial Crime Risk / Compliance,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Financial Crime Risk / Compliance -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-045,M5.4,Close intelligence & gaps,Close intelligence & gaps,Financial Crime Risk / Compliance,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Financial Crime Risk / Compliance -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-046,M5.5,Consult risk specialists,Consult risk specialists,Financial Crime Risk / Compliance,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Financial Crime Risk / Compliance -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-047,M5.6,Determine EDD outcome & conditions,Determine EDD outcome & conditions,Financial Crime Risk / Compliance,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Financial Crime Risk / Compliance -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-048,M5.7,Obtain required approvals,Obtain required approvals,Financial Crime Risk / Compliance,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Financial Crime Risk / Compliance -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-049,M5.8,Record & hand over EDD outcome,Record & hand over EDD outcome,Financial Crime Risk / Compliance,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Financial Crime Risk / Compliance -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-050,M5.9,,Perform EDD judgment and risk assessment,NOT_PRESENT,Financial Crime Risk / Compliance,Added,,High,Target only; no counterpart in the current map.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-051,M5.10,,Approve EDD outcome and conditions,NOT_PRESENT,Financial Crime Risk / Compliance,Added,,High,Target only; no counterpart in the current map.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-052,M6.1,Confirm applicable requirements / CIPs,Confirm applicable requirements / CIPs,QA Team,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: QA Team -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-053,M6.2,Check completeness,Check completeness,QA Team,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: QA Team -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-054,M6.3,Validate evidence sources,Validate evidence sources,QA Team,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: QA Team -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-055,M6.4,Assess evidence sufficiency,Assess evidence sufficiency,QA Team,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: QA Team -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-056,M6.5,Cross-check screening & EDD conditions,Cross-check screening & EDD conditions,QA Team,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: QA Team -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-057,M6.6,Identify & issue gaps,Identify & issue gaps,QA Team,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: QA Team -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-058,M6.7,Re-review remediated items,Re-review remediated items,QA Team,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: QA Team -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-059,M6.8,Provide QA sign-off,Provide QA sign-off,QA Team,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: QA Team -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-060,M7.1,Initiate conflicts check,Initiate conflicts check,RMG Control Room,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: RMG Control Room -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-061,M7.2,Perform conflicts / NDA search,Perform conflicts / NDA search,RMG Control Room,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: RMG Control Room -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-062,M7.3,Investigate & resolve conflicts,Investigate & resolve conflicts,RMG Control Room,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: RMG Control Room -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-063,M7.4,Record conflict clearance,Record conflict clearance,RMG Control Room,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: RMG Control Room -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-064,M7.5,,Investigate potential conflicts,NOT_PRESENT,RMG Control Room,Added,,High,Target only; no counterpart in the current map.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-065,M7.6,,Escalate to senior manager if required,NOT_PRESENT,RMG Control Room,Added,,High,Target only; no counterpart in the current map.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-066,M7.7,,Confirm and record outcome,NOT_PRESENT,RMG Control Room,Added,,High,Target only; no counterpart in the current map.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-067,M8.1,Confirm all required clearance prerequisites are complete,Confirm all required clearance prerequisites are complete,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-068,M8.2,Finalise onboarding case & link supporting outputs,Finalise onboarding case & link supporting outputs,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-069,M8.3,Confirm / record cleared-to-trade status,Confirm / record cleared-to-trade status,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-070,M8.4,Record clearance timestamp,Record clearance timestamp,Client Fulfilment / KYC Ops,Agentic execution,Enhanced,Reassigned,High,"Same activity, lane moved: Client Fulfilment / KYC Ops -> Agentic execution.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-071,M8.5,Communication outcome,Communication outcome,Sales / RM (Front Office),Sales / RM (Front Office),Retained,,High,"Same title, same lane.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S01,HITL-01..05,,Resolve classification exceptions / complex info gaps / ambiguous screening hits / evidence gaps / adjudicate material finding,NOT_PRESENT,Client Fulfilment / KYC Ops; Financial Crime Risk / Compliance,Added,,High,"Five named human exception activities introduced as a distinct band under M1, M2/M3, M4 and M5.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S02,LANE-AGENTIC,,Agentic execution band,NOT_PRESENT,Agentic execution,Added,,High,New band spanning M0-M8; 49 of the 56 M-nodes sit inside it in the target map. Legal (C1) and Credit (C2) stay entirely outside it.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S03,LANE-QA,QA Team lane carrying M6.1-M6.8,,QA Team,NOT_PRESENT,Removed,Merged,High,"QA Team lane label is absent from the target map; M6.1-M6.8 appear inside the agentic band. Confirm whether the QA function is removed, renamed, or simply not drawn.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S04,STAGE-M7,M7 stage header positioned after M6 (x=10.37),M7 stage header positioned beside M1 (x=2.68),L1 Processes,L1 Processes,Enhanced,Resequenced,High,"Conflicts stage header moved to the front of the timeline, consistent with 'non-dependent fulfilment starts early'. Note M7.1-M7.4 still render at the original column.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S05,CLIENT-QA2,"Respond to QA gap requests (second instance, x=10.61)",,Client,NOT_PRESENT,Removed,,High,One of two client QA-gap touchpoints is gone in the target. The other six client touchpoints are unchanged.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S06,GATE-DOWNSTREAM,Decision gate 'Downstream action?',,Financial Crime Risk / Compliance,NOT_PRESENT,Removed,,High,Gate shape absent from the target map. Removed from the drawing does not necessarily mean removed from the process.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S07,GATE-INFO,Decision gate 'Info required',,Client Fulfilment / KYC Ops,NOT_PRESENT,Removed,,High,Gate shape absent from the target map. Confirm whether it is now implicit inside agentic execution.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S08,GATE-CREDIT,Decision gate 'Credit required?',Decision gate 'Credit required?',Client Fulfilment / KYC Ops,Client Fulfilment / KYC Ops,Retained,,High,Only decision gate surviving in the target map.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S09,ANNO-CONFLICT,Annotation 'Trigger conflict check (from M1 information)',,RMG Control Room,NOT_PRESENT,Removed,,High,Annotation absent in target; the early-start intent appears to be expressed by moving the M7 header instead.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S10,ANNO-RISK,Annotation 'Risk input; identify EDD indicators',,Financial Crime Risk / Compliance,NOT_PRESENT,Removed,,High,Annotation absent in target.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S11,SYS-LEGACY,Salesforce/RM; Salesforce/Email intake; Fenergo Policy/CIP library + Risk rules; Fenergo/SharePoint/registries/data providers; ESR tools; ActOne/Case Management; SharePoint Workflow/Tasks; Conflicts system (TCC); FROST; downstream trading/risk systems,,Applications & Systems,NOT_PRESENT,Removed,Replaced,High,"Nine current system groups reduce to three in the target. Consistent with the 4 Sep decision to replace Fenergo, but the verdict for each remaining system needs INP-D1.",,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S12,SYS-NEW,,"NICE Actimize; DocuSign, iManage",NOT_PRESENT,Applications & Systems,Added,,High,New target systems. World-Check and RDC are retained.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
BA-S13,SYS-KEPT,"World-Check, RDC, ESR tools, Fenergo","World-Check, RDC",Applications & Systems,Applications & Systems,Enhanced,Reduced,High,Screening stack narrows to World-Check and RDC.,,,,DERIVED_FROM_SRC007_GEOMETRY_NEEDS_CONFIRMATION,SRC-007
