Scenario,Stable_SCN_ID,Scenario_Title,Relationship,Source_Action,Source_Title_from_existing_dictionary,Current_Lane,Target_Lane,Source_Notes,Existing_Work_Items_with_this_anchor,Review_Status
S8,SCN-MATCH,Review possible screening match,primary,M4.5,Adjudicate screening hits,Client Fulfilment / KYC Ops,Agentic execution,,D3-MATCH-01; D3-MATCH-02; D3-MATCH-03; D3-MATCH-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S8,SCN-MATCH,Review possible screening match,primary,M4.6,Assess risk & materiality,Financial Crime Risk / Compliance,Agentic execution,,D3-MATCH-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S8,SCN-MATCH,Review possible screening match,primary,M4.7,Determine screening outcome,Financial Crime Risk / Compliance,Agentic execution,,D3-MATCH-06; D3-MATCH-07,Guideline grouping; inherited source/work anchors require semantic reconciliation
S8,SCN-MATCH,Review possible screening match,related,M3.3,Request info from client,Client Fulfilment / KYC Ops | Sales / RM (Front Office),Agentic execution,ID drawn 2 times on the current map: Request info from client [Client Fulfilment / KYC Ops] || Request info from client [Sales / RM (Front Office)]. Confirm which is authoritative.,D3-MATCH-03,Guideline grouping; inherited source/work anchors require semantic reconciliation
S8,SCN-MATCH,Review possible screening match,related,M3.4,Capture & validate evidence,Client Fulfilment / KYC Ops,Agentic execution,,D3-MATCH-03,Guideline grouping; inherited source/work anchors require semantic reconciliation
S8,SCN-MATCH,Review possible screening match,related,M8.1,Confirm all required clearance prerequisites are complete,Client Fulfilment / KYC Ops,Agentic execution,,D3-MATCH-07,Guideline grouping; inherited source/work anchors require semantic reconciliation
S9,SCN-EDD,Conduct EDD,primary,M5.1,Initiate & assign EDD case,Financial Crime Risk / Compliance,Agentic execution,,D3-EDD-02,Guideline grouping; inherited source/work anchors require semantic reconciliation
S9,SCN-EDD,Conduct EDD,primary,M5.2,Compile EDD evidence pack,Financial Crime Risk / Compliance,Agentic execution,,D3-EDD-03,Guideline grouping; inherited source/work anchors require semantic reconciliation
S9,SCN-EDD,Conduct EDD,primary,M5.3,Assess evidencing risk factors,Financial Crime Risk / Compliance,Agentic execution,,D3-EDD-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S9,SCN-EDD,Conduct EDD,primary,M5.4,Close intelligence & gaps,Financial Crime Risk / Compliance,Agentic execution,,D3-EDD-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S9,SCN-EDD,Conduct EDD,primary,M5.5,Consult risk specialists,Financial Crime Risk / Compliance,Agentic execution,,D3-EDD-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S9,SCN-EDD,Conduct EDD,primary,M5.6,Determine EDD outcome & conditions,Financial Crime Risk / Compliance,Agentic execution,,D3-EDD-07,Guideline grouping; inherited source/work anchors require semantic reconciliation
S9,SCN-EDD,Conduct EDD,primary,M5.7,Obtain required approvals,Financial Crime Risk / Compliance,Agentic execution,,D3-EDD-07,Guideline grouping; inherited source/work anchors require semantic reconciliation
S9,SCN-EDD,Conduct EDD,primary,M5.8,Record & hand over EDD outcome,Financial Crime Risk / Compliance,Agentic execution,,D3-EDD-08,Guideline grouping; inherited source/work anchors require semantic reconciliation
S9,SCN-EDD,Conduct EDD,primary,M5.9,Perform EDD judgment and risk assessment,NOT_PRESENT,Financial Crime Risk / Compliance,,D3-EDD-04; D3-EDD-07,Guideline grouping; inherited source/work anchors require semantic reconciliation
S9,SCN-EDD,Conduct EDD,primary,M5.10,Approve EDD outcome and conditions,NOT_PRESENT,Financial Crime Risk / Compliance,,D3-EDD-07,Guideline grouping; inherited source/work anchors require semantic reconciliation
S9,SCN-EDD,Conduct EDD,related,M2.4,"Apply risk rating, identify EDD indicators & adjust requirements",Client Fulfilment / KYC Ops,Agentic execution,,D3-EDD-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S10,SCN-CONFLICTS,Conduct conflicts review,primary,M7.1,Initiate conflicts check,RMG Control Room,Agentic execution,,D3-CONFLICTS-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S10,SCN-CONFLICTS,Conduct conflicts review,primary,M7.2,Perform conflicts / NDA search,RMG Control Room,Agentic execution,,D3-CONFLICTS-02,Guideline grouping; inherited source/work anchors require semantic reconciliation
S10,SCN-CONFLICTS,Conduct conflicts review,primary,M7.3,Investigate & resolve conflicts,RMG Control Room,Agentic execution,,D3-CONFLICTS-03; D3-CONFLICTS-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S10,SCN-CONFLICTS,Conduct conflicts review,primary,M7.4,Record conflict clearance,RMG Control Room,Agentic execution,,D3-CONFLICTS-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S10,SCN-CONFLICTS,Conduct conflicts review,primary,M7.5,Investigate potential conflicts,NOT_PRESENT,RMG Control Room,,D3-CONFLICTS-03,Guideline grouping; inherited source/work anchors require semantic reconciliation
S10,SCN-CONFLICTS,Conduct conflicts review,primary,M7.6,Escalate to senior manager if required,NOT_PRESENT,RMG Control Room,,D3-CONFLICTS-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S10,SCN-CONFLICTS,Conduct conflicts review,primary,M7.7,Confirm and record outcome,NOT_PRESENT,RMG Control Room,,D3-CONFLICTS-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S10,SCN-CONFLICTS,Conduct conflicts review,related,M1.1,Submit onboarding request & capture initial client / relationship,Sales / RM (Front Office),Sales / RM (Front Office),,D3-CONFLICTS-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S11,SCN-CREDIT,Assess Credit & conditions,primary,C2.1,Determine credit requirement,Credit,Credit,,D3-CREDIT-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S11,SCN-CREDIT,Assess Credit & conditions,primary,C2.2,Retrieve & validate financial / exposure data,Credit,Credit,,D3-CREDIT-02,Guideline grouping; inherited source/work anchors require semantic reconciliation
S11,SCN-CREDIT,Assess Credit & conditions,primary,C2.3,Assess counterparty credit risk,Credit,Credit,,D3-CREDIT-03,Guideline grouping; inherited source/work anchors require semantic reconciliation
S11,SCN-CREDIT,Assess Credit & conditions,primary,C2.4,Determine credit limit & conditions,Credit,Credit,,D3-CREDIT-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S11,SCN-CREDIT,Assess Credit & conditions,primary,C2.5,Obtain credit approval,Credit,Credit,,D3-CREDIT-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S11,SCN-CREDIT,Assess Credit & conditions,primary,C2.6,Provide Credit Agreement data to Legal,Credit,Credit,,D3-CREDIT-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S11,SCN-CREDIT,Assess Credit & conditions,primary,C2.7,Review / approve final agreement & data,Credit,Credit,,D3-CREDIT-07,Guideline grouping; inherited source/work anchors require semantic reconciliation
S11,SCN-CREDIT,Assess Credit & conditions,related,C1.4,Incorporate Credit input (if required),CGM Legal,CGM Legal,,D3-CREDIT-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S11,SCN-CREDIT,Assess Credit & conditions,related,C1.6,Obtain internal review & approvals,CGM Legal,CGM Legal,,D3-CREDIT-07,Guideline grouping; inherited source/work anchors require semantic reconciliation
S12,SCN-LEGAL,Manage Legal agreements & conditions,primary,C1.1,Intake & initialise legal request,CGM Legal,CGM Legal,,D3-LEGAL-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S12,SCN-LEGAL,Manage Legal agreements & conditions,primary,C1.2,Determine required agreements / forms,CGM Legal,CGM Legal,,D3-LEGAL-02,Guideline grouping; inherited source/work anchors require semantic reconciliation
S12,SCN-LEGAL,Manage Legal agreements & conditions,primary,C1.3,Draft required agreements,CGM Legal,CGM Legal,,D3-LEGAL-03,Guideline grouping; inherited source/work anchors require semantic reconciliation
S12,SCN-LEGAL,Manage Legal agreements & conditions,primary,C1.4,Incorporate Credit input (if required),CGM Legal,CGM Legal,,D3-LEGAL-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S12,SCN-LEGAL,Manage Legal agreements & conditions,primary,C1.5,Negotiate agreement terms,CGM Legal,CGM Legal,,D3-LEGAL-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S12,SCN-LEGAL,Manage Legal agreements & conditions,primary,C1.6,Obtain internal review & approvals,CGM Legal,CGM Legal,,D3-LEGAL-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S12,SCN-LEGAL,Manage Legal agreements & conditions,primary,C1.7,Execute agreements,CGM Legal,CGM Legal,,D3-LEGAL-07,Guideline grouping; inherited source/work anchors require semantic reconciliation
S12,SCN-LEGAL,Manage Legal agreements & conditions,primary,C1.8,Capture key terms & store executed documents,CGM Legal,CGM Legal,,D3-LEGAL-08,Guideline grouping; inherited source/work anchors require semantic reconciliation
S12,SCN-LEGAL,Manage Legal agreements & conditions,related,C2.6,Provide Credit Agreement data to Legal,Credit,Credit,,D3-LEGAL-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S12,SCN-LEGAL,Manage Legal agreements & conditions,related,C2.7,Review / approve final agreement & data,Credit,Credit,,D3-LEGAL-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S13,SCN-QA,QA review,primary,M6.1,Confirm applicable requirements / CIPs,QA Team,Agentic execution,,D3-QA-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S13,SCN-QA,QA review,primary,M6.2,Check completeness,QA Team,Agentic execution,,D3-QA-02,Guideline grouping; inherited source/work anchors require semantic reconciliation
S13,SCN-QA,QA review,primary,M6.3,Validate evidence sources,QA Team,Agentic execution,,D3-QA-03,Guideline grouping; inherited source/work anchors require semantic reconciliation
S13,SCN-QA,QA review,primary,M6.4,Assess evidence sufficiency,QA Team,Agentic execution,,D3-QA-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S13,SCN-QA,QA review,primary,M6.5,Cross-check screening & EDD conditions,QA Team,Agentic execution,,D3-QA-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S13,SCN-QA,QA review,primary,M6.6,Identify & issue gaps,QA Team,Agentic execution,,D3-QA-06,Guideline grouping; inherited source/work anchors require semantic reconciliation
S13,SCN-QA,QA review,primary,M6.7,Re-review remediated items,QA Team,Agentic execution,,D3-QA-07,Guideline grouping; inherited source/work anchors require semantic reconciliation
S13,SCN-QA,QA review,primary,M6.8,Provide QA sign-off,QA Team,Agentic execution,,D3-QA-08,Guideline grouping; inherited source/work anchors require semantic reconciliation
S14,SCN-READINESS,Aggregate readiness conditions,primary,M8.1,Confirm all required clearance prerequisites are complete,Client Fulfilment / KYC Ops,Agentic execution,,D3-READINESS-01; D3-READINESS-02; D3-READINESS-03; D3-READINESS-04; D3-READINESS-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S14,SCN-READINESS,Aggregate readiness conditions,related,M6.1,Confirm applicable requirements / CIPs,QA Team,Agentic execution,,D3-READINESS-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S14,SCN-READINESS,Aggregate readiness conditions,related,M8.3,Confirm / record cleared-to-trade status,Client Fulfilment / KYC Ops,Agentic execution,,D3-READINESS-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
S15,SCN-PUBLISH,Confirm & publish outcome,primary,M8.2,Finalise onboarding case & link supporting outputs,Client Fulfilment / KYC Ops,Agentic execution,,D3-PUBLISH-01,Guideline grouping; inherited source/work anchors require semantic reconciliation
S15,SCN-PUBLISH,Confirm & publish outcome,primary,M8.3,Confirm / record cleared-to-trade status,Client Fulfilment / KYC Ops,Agentic execution,,D3-PUBLISH-02; D3-PUBLISH-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S15,SCN-PUBLISH,Confirm & publish outcome,primary,M8.4,Record clearance timestamp,Client Fulfilment / KYC Ops,Agentic execution,,D3-PUBLISH-03; D3-PUBLISH-04,Guideline grouping; inherited source/work anchors require semantic reconciliation
S15,SCN-PUBLISH,Confirm & publish outcome,primary,M8.5,Communication outcome,Sales / RM (Front Office),Sales / RM (Front Office),,D3-PUBLISH-05,Guideline grouping; inherited source/work anchors require semantic reconciliation
