"process","role","activity","activity_zh","scene_id","current_source_instances","target_source_instances","pain_source_labels","required_inputs","expected_local_outputs","mapping_status"
"M8","Sales / RM (Front Office)","Communicate outcome","传达办理结果","SCN-PUBLISH","SRC-007 p1 · M8.5 · Sales / RM (Front Office)","SRC-007 p2 · M8.5 · Sales / RM (Front Office)","SRC-007 p5 · Slow onboarding","Recorded clearance status and permitted next steps","Client communication record and acknowledged next steps","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M0","Client Fulfilment / KYC Ops","Determine due-diligence level and record booking model","判定尽调级别并记录记账模式","SCN-SCOPE","SRC-007 p1 · M0.3 · Client Fulfilment / KYC Ops | SRC-007 p1 · M0.4 · Client Fulfilment / KYC Ops","SRC-007 p2 · M0.3 · Agentic execution | SRC-007 p2 · M0.4 · Agentic execution","SRC-007 p4 · Client intake | SRC-007 p5 · Manual interpretation","Scoped Entity A FX forward request and booking facts","Recorded DD level and versioned booking model","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M1","Client Fulfilment / KYC Ops","Create and triage the onboarding case","创建并分流开户案件","SCN-ENTITY","SRC-007 p1 · M1.2 · Client Fulfilment / KYC Ops | SRC-007 p1 · M1.3 · Client Fulfilment / KYC Ops | SRC-007 p1 · M1.4 · Client Fulfilment / KYC Ops | SRC-007 p1 · M1.5 · Client Fulfilment / KYC Ops","SRC-007 p2 · M1.2 · Agentic execution | SRC-007 p2 · M1.3 · Agentic execution | SRC-007 p2 · M1.4 · Agentic execution | SRC-007 p2 · M1.5 · Agentic execution","SRC-007 p4 · Client intake | SRC-007 p5 · Fragmented systems / data","Submitted onboarding request, legal identity facts and known unknowns","Versioned case, legal-entity classification and triage exceptions","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M2","Client Fulfilment / KYC Ops","Determine and issue requirements","判定并发布所需材料清单","SCN-REQUIREMENTS","SRC-007 p1 · M2.1 · Client Fulfilment / KYC Ops | SRC-007 p1 · M2.2 · Client Fulfilment / KYC Ops | SRC-007 p1 · M2.3 · Client Fulfilment / KYC Ops | SRC-007 p1 · M2.4 · Client Fulfilment / KYC Ops | SRC-007 p1 · M2.5 · Client Fulfilment / KYC Ops","SRC-007 p2 · M2.1 · Agentic execution | SRC-007 p2 · M2.2 · Agentic execution | SRC-007 p2 · M2.3 · Agentic execution | SRC-007 p2 · M2.4 · Agentic execution | SRC-007 p2 · M2.5 · Agentic execution","SRC-007 p4 · Requirements distillation | SRC-007 p5 · Manual interpretation","Scoped Entity A FX forward case and applicability basis","Versioned applicability and requirements set including unknowns","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M3","Client Fulfilment / KYC Ops","Source available evidence","获取现有证据","SCN-SOURCE","SRC-007 p1 · M3.1 · Sales / RM; Client Fulfilment / KYC Ops","SRC-007 p2 · M3.1 · Agentic execution","SRC-007 p4 · KYC and ID Verification | SRC-007 p5 · Fragmented systems / data","Versioned requirements and existing evidence provenance","Evidence reuse candidates and residual evidence gaps","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M3","Client Fulfilment / KYC Ops","Identify and request residual gaps","识别并索取剩余缺口材料","SCN-GAP","SRC-007 p1 · M3.2 · Sales / RM; Client Fulfilment / KYC Ops | SRC-007 p1 · M3.3 · Client Fulfilment / KYC Ops","SRC-007 p2 · M3.2 · Agentic execution | SRC-007 p2 · M3.3 · Agentic execution","SRC-007 p5 · Stakeholder repetition | SRC-007 p5 · Re-work & duplication","Residual evidence gaps, purpose and safe request channel","Versioned gap request and outstanding-item register","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M3","Client Fulfilment / KYC Ops","Validate evidence and maintain sourcing trail","验证证据并维护获取轨迹","SCN-VALIDATE","SRC-007 p1 · M3.4 · Sales / RM; Client Fulfilment / KYC Ops | SRC-007 p1 · M3.5 · Sales / RM; Client Fulfilment / KYC Ops","SRC-007 p2 · M3.4 · Agentic execution | SRC-007 p2 · M3.5 · Agentic execution","SRC-007 p4 · KYC and ID Verification | SRC-007 p5 · Re-work & duplication","Released evidence, provenance and stated purpose","Scoped sufficiency assessment and sourcing audit trail","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M4","Client Fulfilment / KYC Ops","Prepare and execute screening population","准备筛查对象并执行筛查","SCN-POPULATION","SRC-007 p1 · M4.1 · Client Fulfilment / KYC Ops | SRC-007 p1 · M4.2 · Client Fulfilment / KYC Ops | SRC-007 p1 · M4.3 · Client Fulfilment / KYC Ops | SRC-007 p1 · M4.4 · Client Fulfilment / KYC Ops","SRC-007 p2 · M4.1 · Agentic execution | SRC-007 p2 · M4.2 · Agentic execution | SRC-007 p2 · M4.3 · Agentic execution | SRC-007 p2 · M4.4 · Agentic execution","SRC-007 p4 · AML Screening | SRC-007 p5 · Fragmented systems / data","Verified entity and representative population with screening basis","Versioned query population and screening results","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M4","Client Fulfilment / KYC Ops","Review ambiguous screening hits","审查不明确的筛查命中","SCN-MATCH","SRC-007 p1 · M4.5 · Client Fulfilment / KYC Ops","SRC-007 p2 · M4.5 · Agentic execution","SRC-007 p4 · AML Screening | SRC-007 p5 · Manual interpretation","Versioned screening results and ambiguous-hit evidence","Documented hit assessment and unresolved materiality questions","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M8","Client Fulfilment / KYC Ops","Confirm and publish clearance readiness","确认并发布准入就绪状态","SCN-READINESS","SRC-007 p1 · M8.1 · Client Fulfilment / KYC Ops | SRC-007 p1 · M8.2 · Client Fulfilment / KYC Ops | SRC-007 p1 · M8.3 · Client Fulfilment / KYC Ops | SRC-007 p1 · M8.4 · Client Fulfilment / KYC Ops","SRC-007 p2 · M8.1 · Agentic execution | SRC-007 p2 · M8.2 · Agentic execution | SRC-007 p2 · M8.3 · Agentic execution | SRC-007 p2 · M8.4 · Agentic execution","SRC-007 p4 · Process orchestration | SRC-007 p5 · Slow onboarding","Versioned requirement, evidence, screening, EDD, QA, conflicts, Legal and Credit states","Readiness assessment and recorded clearance state","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M6","QA Team","Check requirements and evidence sufficiency","检查要求与证据充分性","SCN-QA","SRC-007 p1 · M6.1 · QA Team | SRC-007 p1 · M6.2 · QA Team | SRC-007 p1 · M6.3 · QA Team | SRC-007 p1 · M6.4 · QA Team","SRC-007 p2 · M6.1 · Agentic execution | SRC-007 p2 · M6.2 · Agentic execution | SRC-007 p2 · M6.3 · Agentic execution | SRC-007 p2 · M6.4 · Agentic execution","SRC-007 p5 · Manual interpretation | SRC-007 p5 · Fragmented systems / data","Named requirement version, evidence version and applicable conditions","Named sufficiency findings and evidence gaps","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M6","QA Team","Resolve gaps and provide QA sign-off","解决缺口并完成质量签核","SCN-QA","SRC-007 p1 · M6.5 · QA Team | SRC-007 p1 · M6.6 · QA Team | SRC-007 p1 · M6.7 · QA Team | SRC-007 p1 · M6.8 · QA Team","SRC-007 p2 · M6.5 · Agentic execution | SRC-007 p2 · M6.6 · Agentic execution | SRC-007 p2 · M6.7 · Agentic execution | SRC-007 p2 · M6.8 · Agentic execution","SRC-007 p5 · Re-work & duplication | SRC-007 p5 · Multiple handoffs","Named gaps, remediation versions and screening / EDD conditions","Named re-review outcome or QA sign-off only","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M4","Financial Crime Risk / Compliance","Assess screening risk and outcome","评估筛查风险与结论","SCN-MATCH","SRC-007 p1 · M4.6 · Financial Crime Risk / Compliance | SRC-007 p1 · M4.7 · Financial Crime Risk / Compliance","SRC-007 p2 · M4.6 · Agentic execution | SRC-007 p2 · M4.7 · Agentic execution","SRC-007 p4 · AML Screening | SRC-007 p4 · Risk decisioning","Material screening finding, evidence and risk context","Recorded materiality assessment and screening outcome","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M5","Financial Crime Risk / Compliance","Assess EDD and conditions","评估强化尽调及其条件","SCN-EDD","SRC-007 p1 · M5.1 · Financial Crime Risk / Compliance | SRC-007 p1 · M5.2 · Financial Crime Risk / Compliance | SRC-007 p1 · M5.3 · Financial Crime Risk / Compliance | SRC-007 p1 · M5.4 · Financial Crime Risk / Compliance | SRC-007 p1 · M5.5 · Financial Crime Risk / Compliance | SRC-007 p1 · M5.6 · Financial Crime Risk / Compliance | SRC-007 p1 · M5.7 · Financial Crime Risk / Compliance | SRC-007 p1 · M5.8 · Financial Crime Risk / Compliance","SRC-007 p2 · M5.1 · Agentic execution | SRC-007 p2 · M5.2 · Agentic execution | SRC-007 p2 · M5.3 · Agentic execution | SRC-007 p2 · M5.4 · Agentic execution | SRC-007 p2 · M5.5 · Agentic execution | SRC-007 p2 · M5.6 · Agentic execution | SRC-007 p2 · M5.7 · Agentic execution | SRC-007 p2 · M5.8 · Agentic execution | SRC-007 p2 · M5.9 · Financial Crime Risk / Compliance | SRC-007 p2 · M5.10 · Financial Crime Risk / Compliance","SRC-007 p4 · Risk decisioning | SRC-007 p5 · Manual interpretation","EDD evidence pack, unresolved intelligence gaps and approval basis","Versioned EDD judgment, conditions, approval record and handoff","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M7","Control Room","Initiate and search for conflicts","发起并检索利益冲突","SCN-CONFLICTS","SRC-007 p1 · M7.1 · Control Room | SRC-007 p1 · M7.2 · Control Room","SRC-007 p2 · M7.1 · Agentic execution | SRC-007 p2 · M7.2 · Agentic execution","SRC-007 p5 · Fragmented systems / data | SRC-007 p5 · Multiple handoffs","Scoped entity, relationship, parties and NDA search inputs","Versioned conflicts / NDA search result and potential matches","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"M7","Control Room","Investigate, escalate and record conflicts outcome","调查、升级并记录冲突结论","SCN-CONFLICTS","SRC-007 p1 · M7.3 · Control Room | SRC-007 p1 · M7.4 · Control Room","SRC-007 p2 · M7.3 · Agentic execution | SRC-007 p2 · M7.4 · Agentic execution | SRC-007 p2 · M7.5 · Control Room | SRC-007 p2 · M7.6 · Control Room | SRC-007 p2 · M7.7 · Control Room","SRC-007 p5 · Manual interpretation | SRC-007 p5 · Slow onboarding","Potential conflict findings, relationship context and escalation basis","Scoped conflict decision, escalation record and recorded outcome","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"C1","Legal","Prepare and review agreements","准备并审查协议","SCN-LEGAL","SRC-007 p1 · C1.1 · Legal | SRC-007 p1 · C1.2 · Legal | SRC-007 p1 · C1.3 · Legal | SRC-007 p1 · C1.4 · Legal","SRC-007 p2 · C1.1 · Legal | SRC-007 p2 · C1.2 · Legal | SRC-007 p2 · C1.3 · Legal | SRC-007 p2 · C1.4 · Legal","SRC-007 p5 · Multiple handoffs | SRC-007 p5 · Re-work & duplication","Current agreement version, approved scope, Credit terms and drafting basis","Draft or reviewed agreement version with open legal issues","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"C1","Legal","Negotiate, approve and execute agreements","谈判、审批并签署协议","SCN-LEGAL","SRC-007 p1 · C1.5 · Legal | SRC-007 p1 · C1.6 · Legal | SRC-007 p1 · C1.7 · Legal | SRC-007 p1 · C1.8 · Legal","SRC-007 p2 · C1.5 · Legal | SRC-007 p2 · C1.6 · Legal | SRC-007 p2 · C1.7 · Legal | SRC-007 p2 · C1.8 · Legal","SRC-007 p5 · Slow onboarding | SRC-007 p5 · Fragmented systems / data","Reviewed agreement, approved Credit terms and verified signatory authority","Executed agreement, captured key terms and stored document record","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"C2","Credit","Assess credit requirement and conditions","评估信贷需求与条件","SCN-CREDIT","SRC-007 p1 · C2.1 · Credit | SRC-007 p1 · C2.2 · Credit | SRC-007 p1 · C2.3 · Credit | SRC-007 p1 · C2.4 · Credit","SRC-007 p2 · C2.1 · Credit | SRC-007 p2 · C2.2 · Credit | SRC-007 p2 · C2.3 · Credit | SRC-007 p2 · C2.4 · Credit","SRC-007 p5 · Manual interpretation | SRC-007 p5 · Fragmented systems / data","Validated financial, exposure and counterparty inputs","Versioned credit-risk assessment, limit and conditions","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
"C2","Credit","Approve credit and provide agreement data","审批信贷并提供协议数据","SCN-CREDIT","SRC-007 p1 · C2.5 · Credit | SRC-007 p1 · C2.6 · Credit | SRC-007 p1 · C2.7 · Credit","SRC-007 p2 · C2.5 · Credit | SRC-007 p2 · C2.6 · Credit | SRC-007 p2 · C2.7 · Credit","SRC-007 p5 · Multiple handoffs | SRC-007 p5 · Slow onboarding","Versioned credit assessment, proposed limit, conditions and agreement data","Approval record and versioned Credit-to-Legal input","DESIGN_INTERPRETATION; qualitative source pains, not measured bank facts"
