"object_name","field_name","label_zh","label_en_au","label_en_us","type","required_when","nullable","enum_or_format","definition","source_or_derivation","source_ref","owner_role","editable_by","validation_rule","revision_rule","dependency_refs","ui_binding","sensitivity","evidence_status","synthetic_example"
"Case","authority_status","权限状态","authority status","authority status","string","Always present on each object record","false","demo_configured|unknown|not_applicable","Explicit 权限状态 independent of other object states.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Case.authority_status; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""unknown"""
"Case","sensitivity","敏感等级","sensitivity","sensitivity","string","Always present on each object record","false","synthetic-restricted","Explicit 敏感等级 independent of other object states.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Case.sensitivity; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""synthetic-restricted"""
"Case","created_at","创建时间","created at","created at","string","Always present on each object record","false","date-time","UTC timestamp for authored synthetic data.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Case.created_at; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""2026-09-07T00:00:00Z"""
"Case","updated_at","更新时间","updated at","updated at","string","Always present on each object record","false","date-time","UTC timestamp; display locale never changes the value.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Case.updated_at; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""2026-09-07T00:00:00Z"""
"Case","as_of","资料时点","as of","as of","string","Always present on each object record","false","date-time","UTC currency of this authored record.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Case.as_of; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""2026-09-07T00:00:00Z"""
"Case","question_ref","待确认问题","question ref","question ref","string|null","Non-null when policy/applicability/authority unknown; all keys present","true","","Required when bank authority or policy is unknown.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Case.question_ref; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""ROUND-A-Q-AUTHORITY"""
"Case","audit_event_refs","审计事件","audit event refs","audit event refs","array","Always present on each object record","false","ref:AuditEvent","References to AuditEvent.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","Must resolve AuditEvent and same case/scope; explicit revision where used","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Case.audit_event_refs; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","[]"
"Case","trigger_id","触发","trigger id","trigger id","string","Always present on each object record","false","","Authored new_relationship trigger.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Case.trigger_id; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""new_relationship"""
"Case","lifecycle","生命周期","lifecycle","lifecycle","string","Always present on each object record","false","active|closed","Explicit 生命周期 independent of other object states.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Case.lifecycle; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""active"""
"Case","publication_status","发布状态","publication status","publication status","string","Always present on each object record","false","not_requested|pending|published|failed","Explicit 发布状态 independent of other object states.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Case.publication_status; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""not_requested"""
"Case","transaction_status","交易状态","transaction status","transaction status","string","Always present on each object record","false","out_of_scope","Explicit 交易状态 independent of other object states.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Case.transaction_status; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""out_of_scope"""
"Scope","id","稳定编号","id","id","string","Always present on each object record","false","","Stable synthetic local identifier.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.id; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""DEMO-CTT-001/scope/institutional"""
"Scope","case_id","案件","case id","case id","string","Always present on each object record","false","ref:Case","Reference to Case.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","Must resolve Case and same case/scope; explicit revision where used","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.case_id; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""DEMO-CTT-001"""
"Scope","case_scope_id","案件范围","case scope id","case scope id","string","Always present on each object record","false","ref:Scope","Reference to Scope.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","Must resolve Scope and same case/scope; explicit revision where used","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.case_scope_id; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""DEMO-CTT-001/scope/institutional"""
"Scope","revision","版本","revision","revision","integer","Always present on each object record","false","","版本; increment for material revisions.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.revision; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","1"
"Scope","supersedes_ref","前版本","supersedes ref","supersedes ref","string|null","Always present on each object record","true","ref:Any","Previous immutable record reference, null for first revision.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","Must resolve Any and same case/scope; explicit revision where used","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.supersedes_ref; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","null"
"Scope","source_refs","设计依据","source refs","source refs","array","Always present on each object record","false","","Registered design sources; distinct from synthetic evidence provenance.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.source_refs; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","[""SRC-009"",""SRC-010""]"
"Scope","source_status","来源状态","source status","source status","string","Always present on each object record","false","USER-CONFIRMED|SOURCE-SUPPORTED|INDUSTRY-REFERENCE|DESIGN-HYPOTHESIS|SYNTHETIC|OPEN|SUPERSEDED","Explicit 来源状态 independent of other object states.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.source_status; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""SYNTHETIC"""
"Scope","simulation_flag","合成标记","simulation flag","simulation flag","boolean","Always present on each object record","false","","Always true for Round A business records.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.simulation_flag; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","true"
"Scope","owner_role","责任角色","owner role","owner role","string","Always present on each object record","false","","Synthetic role assignment, not bank delegation.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.owner_role; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""ROLE-CASEMGR"""
"Scope","validation_owner","验证负责人","validation owner","validation owner","string","Always present on each object record","false","","Working review owner.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.validation_owner; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""Christina"""
"Scope","authority_status","权限状态","authority status","authority status","string","Always present on each object record","false","demo_configured|unknown|not_applicable","Explicit 权限状态 independent of other object states.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.authority_status; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""unknown"""
"Scope","sensitivity","敏感等级","sensitivity","sensitivity","string","Always present on each object record","false","synthetic-restricted","Explicit 敏感等级 independent of other object states.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.sensitivity; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""synthetic-restricted"""
"Scope","created_at","创建时间","created at","created at","string","Always present on each object record","false","date-time","UTC timestamp for authored synthetic data.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.created_at; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""2026-09-07T00:00:00Z"""
"Scope","updated_at","更新时间","updated at","updated at","string","Always present on each object record","false","date-time","UTC timestamp; display locale never changes the value.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.updated_at; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""2026-09-07T00:00:00Z"""
"Scope","as_of","资料时点","as of","as of","string","Always present on each object record","false","date-time","UTC currency of this authored record.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.as_of; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""2026-09-07T00:00:00Z"""
"Scope","question_ref","待确认问题","question ref","question ref","string|null","Non-null when policy/applicability/authority unknown; all keys present","true","","Required when bank authority or policy is unknown.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.question_ref; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""ROUND-A-Q-POLICY"""
"Scope","audit_event_refs","审计事件","audit event refs","audit event refs","array","Always present on each object record","false","ref:AuditEvent","References to AuditEvent.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","Must resolve AuditEvent and same case/scope; explicit revision where used","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.audit_event_refs; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","[]"
"Scope","entity_ids","主体","entity ids","entity ids","array","Always present on each object record","false","ref:Entity","References to Entity.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","Must resolve Entity and same case/scope; explicit revision where used","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.entity_ids; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","[""DEMO-CTT-001/entity/harbour""]"
"Scope","product_scope_ids","产品范围","product scope ids","product scope ids","array","Always present on each object record","false","","Synthetic product codes only.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.product_scope_ids; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","[""SYNTHETIC-INSTITUTIONAL-PRODUCT""]"
"Scope","booking_entity_ref","记账实体","booking entity ref","booking entity ref","string|null","Always present on each object record","true","","Bank booking entity unknown; no fictitious real bank identifier.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.booking_entity_ref; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","null"
"Scope","sales_location","销售地区","sales location","sales location","string","Always present on each object record","false","unknown|AU|US","Explicit 销售地区 independent of other object states.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.sales_location; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""unknown"""
"Scope","jurisdiction_contexts","地区上下文","jurisdiction contexts","jurisdiction contexts","array","Always present on each object record","false","","Context separate from locale and policy.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.jurisdiction_contexts; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","[""AU""]"
"Scope","policy_profile_ref","银行政策版本","policy profile ref","policy profile ref","string|null","Always present on each object record","true","","Unknown bank policy remains null.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.policy_profile_ref; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","null"
"Scope","scope_status","范围状态","scope status","scope status","string","Always present on each object record","false","draft|confirmed_for_demo|needs_clarification","Explicit 范围状态 independent of other object states.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-CASEMGR","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Scope.scope_status; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""confirmed_for_demo"""
"Entity","id","稳定编号","id","id","string","Always present on each object record","false","","Stable synthetic local identifier.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-KYCOPS","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Entity.id; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""DEMO-CTT-001/entity/harbour"""
"Entity","case_id","案件","case id","case id","string","Always present on each object record","false","ref:Case","Reference to Case.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-KYCOPS","State reducer after configured demo action","Must resolve Case and same case/scope; explicit revision where used","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Entity.case_id; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""DEMO-CTT-001"""
"Entity","case_scope_id","案件范围","case scope id","case scope id","string","Always present on each object record","false","ref:Scope","Reference to Scope.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-KYCOPS","State reducer after configured demo action","Must resolve Scope and same case/scope; explicit revision where used","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Entity.case_scope_id; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","""DEMO-CTT-001/scope/institutional"""
"Entity","revision","版本","revision","revision","integer","Always present on each object record","false","","版本; increment for material revisions.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-KYCOPS","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Entity.revision; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","1"
"Entity","supersedes_ref","前版本","supersedes ref","supersedes ref","string|null","Always present on each object record","true","ref:Any","Previous immutable record reference, null for first revision.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-KYCOPS","State reducer after configured demo action","Must resolve Any and same case/scope; explicit revision where used","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Entity.supersedes_ref; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","null"
"Entity","source_refs","设计依据","source refs","source refs","array","Always present on each object record","false","","Registered design sources; distinct from synthetic evidence provenance.","IA §7.2/7.3/7.4 and D2 §8 seeds; field-level implementation is proposed","SRC-009:7|SRC-010:8","ROLE-KYCOPS","State reducer after configured demo action","JSON type + enum/conditional constraints; no empty strings for unknown","Increment material revision; retain prior assessment/decision/event; new snapshots immutable","See source-scoped dependency records","Entity.source_refs; exposed where relevant in Scenario/Product/Assurance","synthetic-restricted","DESIGN-HYPOTHESIS","[""SRC-009"",""SRC-010""]"
