object_name,field_name,physical_binding,type,required_when,nullable,source_ref,source_status,owner_role,editable_by,validation_rule,revision_rule,dependency_refs,ui_binding,sensitivity,synthetic_example,label_en_au,label_en_us,label_zh,definition,enum_or_format
"Scope","service_jurisdictions","scopes.service_jurisdictions","""array""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","[]","service jurisdictions","service jurisdictions","service_jurisdictions","Batch A Scope.service_jurisdictions; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","dd_level","scopes.dd_level","[""string"",""null""]","When this Batch A object / action is present","true","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","null","dd level","dd level","尽调等级","Batch A Scope.dd_level; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","dd_assessment_status","scopes.dd_assessment_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","""not_assessed""","dd assessment status","dd assessment status","尽调评估状态","Batch A Scope.dd_assessment_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","[""not_assessed"",""under_review"",""recorded""]"
"Scope","scope_confirmation_ref","scopes.scope_confirmation_ref","[""string"",""null""]","When this Batch A object / action is present","true","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","null","scope confirmation ref","scope confirmation ref","scope_confirmation_ref","Batch A Scope.scope_confirmation_ref; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","scope_revision","scopes.scope_revision","""integer""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","1","scope revision","scope revision","范围版本","Batch A Scope.scope_revision; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","confirmation_purpose","scopes.confirmation_purpose","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","""working_scope""","confirmation purpose","confirmation purpose","confirmation_purpose","Batch A Scope.confirmation_purpose; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","unresolved_context_refs","scopes.unresolved_context_refs","""array""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","[""booking_entity_ref"",""product_eligibility_assessment_ref"",""dd_level"",""authority"",""beneficial_ownership""]","unresolved context refs","unresolved context refs","unresolved_context_refs","Batch A Scope.unresolved_context_refs; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","field_provenance","scopes.field_provenance","""object""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","{""business_purpose"":{""source_ref"":""EV-A01"",""value_status"":""reported"",""source_revision"":1},""counterparty_entity_id"":{""source_ref"":""EV-A01"",""value_status"":""unknown"",""source_revision"":1}}","field provenance","field provenance","field_provenance","Batch A Scope.field_provenance; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","synthetic","scopes.synthetic","""boolean""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","true","synthetic","synthetic","合成标记","Batch A Scope.synthetic; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Scope","validation_status","scopes.validation_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-03;SRC-010:DEP-09;SRC-010:DEP-10","Scope / Scenario / Print","synthetic-restricted","""reviewed_for_demo""","validation status","validation status","验证状态","Batch A Scope.validation_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Entity","display_alias","entities.display_alias","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""Entity A""","display alias","display alias","display_alias","Batch A Entity.display_alias; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Entity","identity_resolution_status","entities.identity_resolution_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""unresolved""","identity resolution status","identity resolution status","主体界定状态","Batch A Entity.identity_resolution_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","[""unresolved"",""under_review"",""resolved_for_scope""]"
"Entity","verification_status","entities.verification_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""not_started""","verification status","verification status","verification_status","Batch A Entity.verification_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","[""not_started"",""in_review"",""established"",""unresolved""]"
"Entity","identity_verification_ref","entities.identity_verification_ref","[""string"",""null""]","When this Batch A object / action is present","true","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","null","identity verification ref","identity verification ref","身份核验引用","Batch A Entity.identity_verification_ref; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Entity","beneficial_ownership_status","entities.beneficial_ownership_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""unknown""","beneficial ownership status","beneficial ownership status","受益所有权状态","Batch A Entity.beneficial_ownership_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Entity","identifiers","entities.identifiers","""array""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","[]","identifiers","identifiers","identifiers","Batch A Entity.identifiers; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Entity","provenance_refs","entities.provenance_refs","""array""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","[""EV-A01"",""EV-A02""]","provenance refs","provenance refs","出处引用","Batch A Entity.provenance_refs; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Entity","value_status","entities.value_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""reported""","value status","value status","值状态","Batch A Entity.value_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Entity","synthetic","entities.synthetic","""boolean""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","true","synthetic","synthetic","合成标记","Batch A Entity.synthetic; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Entity","validation_status","entities.validation_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""reviewed_for_demo""","validation status","validation status","验证状态","Batch A Entity.validation_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Representative","synthetic","representatives.synthetic","""boolean""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","true","synthetic","synthetic","合成标记","Batch A Representative.synthetic; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Representative","validation_status","representatives.validation_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""reviewed_for_demo""","validation status","validation status","验证状态","Batch A Representative.validation_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Representative","value_status","representatives.value_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""reported""","value status","value status","值状态","Batch A Representative.value_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Representative","provenance_refs","representatives.provenance_refs","""array""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","[""SRC-013""]","provenance refs","provenance refs","出处引用","Batch A Representative.provenance_refs; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Representative","person_id","representatives.person_id","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""DEMO-CTT-001/person/person-t""","person id","person id","人员编号","Batch A Representative.person_id; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Representative","principal_entity_id","representatives.principal_entity_id","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""DEMO-CTT-001/entity/harbour""","principal entity id","principal entity id","被代表主体","Batch A Representative.principal_entity_id; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Representative","claimed_role","representatives.claimed_role","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""coordinate_information""","claimed role","claimed role","claimed_role","Batch A Representative.claimed_role; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Authority","synthetic","authorities.synthetic","""boolean""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","true","synthetic","synthetic","合成标记","Batch A Authority.synthetic; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Authority","validation_status","authorities.validation_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""reviewed_for_demo""","validation status","validation status","验证状态","Batch A Authority.validation_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Authority","value_status","authorities.value_status","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""reported""","value status","value status","值状态","Batch A Authority.value_status; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Authority","provenance_refs","authorities.provenance_refs","""array""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","[""SRC-013""]","provenance refs","provenance refs","出处引用","Batch A Authority.provenance_refs; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Authority","person_id","authorities.person_id","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""DEMO-CTT-001/person/person-t""","person id","person id","人员编号","Batch A Authority.person_id; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Authority","principal_entity_id","authorities.principal_entity_id","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""DEMO-CTT-001/entity/harbour""","principal entity id","principal entity id","被代表主体","Batch A Authority.principal_entity_id; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Authority","action_type","authorities.action_type","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""coordinate_information""","action type","action type","权限用途","Batch A Authority.action_type; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
"Authority","authority_scope","authorities.authority_scope","""string""","When this Batch A object / action is present","false","SRC-013 §7","SYNTHETIC-DEMO / DESIGN-HYPOTHESIS","Demo role; bank owner unconfirmed","Controlled action or fixture only","Action guards + draft schema; no bank rule inferred","Material action creates revision / retained prior session","SRC-010:DEP-02;SRC-010:DEP-05","Parties / Authority / Tasks / Activity / Print","synthetic-restricted","""Entity A / FX forward relationship""","authority scope","authority scope","authority_scope","Batch A Authority.authority_scope; SRC-013 Final v1.0 §7; synthetic / reviewed_for_demo only.","""See additive schema; no bank enum inferred"""
