Process_ID,Node_Title,Target_Lane,Map_Implies,Execution_Mode_MVP,Execution_Mode_Target,Agent_Inputs,Agent_Outputs,Cannot_Check,Escalation_Trigger,Accountable_Human,Four_Eyes_Required,Override_Effect,Audit_Fields,Evidence_Status,Source_ID
M6.6,Identify & issue gaps,Agentic execution,"Agentic band - flavour unspecified, must be tagged",,,,,,,,,,,NEEDS_TAGGING,SRC-007
M6.7,Re-review remediated items,Agentic execution,"Agentic band - flavour unspecified, must be tagged",,,,,,,,,,,NEEDS_TAGGING,SRC-007
M6.8,Provide QA sign-off,Agentic execution,"Agentic band - flavour unspecified, must be tagged",,,,,,,,,,,NEEDS_TAGGING,SRC-007
M7.1,Initiate conflicts check,Agentic execution,"Agentic band - flavour unspecified, must be tagged",,,,,,,,,,,NEEDS_TAGGING,SRC-007
M7.2,Perform conflicts / NDA search,Agentic execution,"Agentic band - flavour unspecified, must be tagged",,,,,,,,,,,NEEDS_TAGGING,SRC-007
M7.3,Investigate & resolve conflicts,Agentic execution,"Agentic band - flavour unspecified, must be tagged",,,,,,,,,,,NEEDS_TAGGING,SRC-007
M7.4,Record conflict clearance,Agentic execution,"Agentic band - flavour unspecified, must be tagged",,,,,,,,,,,NEEDS_TAGGING,SRC-007
M7.5,Investigate potential conflicts,RMG Control Room,Human lane,,,,,,,,,,,NEEDS_TAGGING,SRC-007
M7.6,Escalate to senior manager if required,RMG Control Room,Human lane,,,,,,,,,,,NEEDS_TAGGING,SRC-007
M7.7,Confirm and record outcome,RMG Control Room,Human lane,,,,,,,,,,,NEEDS_TAGGING,SRC-007
M8.1,Confirm all required clearance prerequisites are complete,Agentic execution,"Agentic band - flavour unspecified, must be tagged",,,,,,,,,,,NEEDS_TAGGING,SRC-007
M8.2,Finalise onboarding case & link supporting outputs,Agentic execution,"Agentic band - flavour unspecified, must be tagged",,,,,,,,,,,NEEDS_TAGGING,SRC-007
M8.3,Confirm / record cleared-to-trade status,Agentic execution,"Agentic band - flavour unspecified, must be tagged",,,,,,,,,,,NEEDS_TAGGING,SRC-007
M8.4,Record clearance timestamp,Agentic execution,"Agentic band - flavour unspecified, must be tagged",,,,,,,,,,,NEEDS_TAGGING,SRC-007
M8.5,Communication outcome,Sales / RM (Front Office),Human lane,,,,,,,,,,,NEEDS_TAGGING,SRC-007
HITL-01,Resolve classification exceptions,Client Fulfilment / KYC Ops,Human lane,,,,,,,,,,,NEEDS_TAGGING,SRC-007
HITL-02,Resolve complex info gaps,Client Fulfilment / KYC Ops,Human lane,,,,,,,,,,,NEEDS_TAGGING,SRC-007
HITL-03,Review ambiguous screening hits,Client Fulfilment / KYC Ops,Human lane,,,,,,,,,,,NEEDS_TAGGING,SRC-007
HITL-04,Support evidence gaps where needed,Client Fulfilment / KYC Ops,Human lane,,,,,,,,,,,NEEDS_TAGGING,SRC-007
HITL-05,Adjudicate material screening finding,Financial Crime Risk / Compliance,Human lane,,,,,,,,,,,NEEDS_TAGGING,SRC-007
